prospect_id,nombre,categoria,telefono_normalizado,telefono,direccion,ubicacion,valoracion,num_reseñas,status,date_added,google_maps_link,tiene_web,website,tipo,source_file
BCN-0001,Carpinteria de aluminio Jos-mar SL.,carpintero aluminio,+34934110290,+34 934 11 02 90,"Carrer de Cardó, 9, Sants-Montjuïc, 08028 Barcelona",Barcelona,5.0,0,pending,2026-01-02,,False,,Carpintería metálica y de aluminio,amb_barcelona_sin_web_20260102_223732.csv
BCN-0002,ELECTRICISTA LEANDRO,electricista,+34615610139,+34 615 61 01 39,"Carrer de los Castillejos, 251, Eixample, 08013 Barcelona",Barcelona,5.0,0,pending,2026-01-02,,False,,Electricista,amb_barcelona_sin_web_20260102_223732.csv
BCN-0003,AMJ PINTORES BARCELONA,pintor decorator,+34651911721,+34 651 91 17 21,"Carrer de la Foneria, 18, 1ro, 2da, Sants-Montjuïc, 08038 Barcelona",Barcelona,5.0,0,pending,2026-01-02,,False,,Pintor,amb_barcelona_sin_web_20260102_223732.csv
BCN-0004,Rehabilitación de Tejados Tapar en Barcelona,limpieza fachadas,+34931317868,+34 931 31 78 68,"Ronda de la Guineueta Vella, 54, Nou Barris, 08042 Barcelona",Barcelona,5.0,0,pending,2026-01-02,,False,,Servicio de restauración de edificios,amb_barcelona_sin_web_20260102_223732.csv
BCN-0005,"Ikra Reformas e Interiorismo, S.L.",reformas cocina,+34933385133,+34 933 38 51 33,"Av. de Ventura Gassol, 15, 08901 L'Hospitalet de Llobregat, Barcelona",L'Hospitalet de Llobregat,5.0,0,pending,2026-01-02,,False,,Reformas,amb_barcelona_sin_web_20260102_223732.csv
BCN-0006,Carpintería José Ferreiro,carpintero aluminio,+34933323209,+34 933 32 32 09,"Ronda de la Via, 59, 08903 L'Hospitalet de Llobregat, Barcelona",L'Hospitalet de Llobregat,5.0,0,pending,2026-01-02,,False,,Carpintería metálica y de aluminio,amb_barcelona_sin_web_20260102_223732.csv
BCN-0007,Mi espacio int,fontanero,+34634136332,+34 634 13 63 32,"Carrer Provença, 52-56, 08901 L'Hospitalet de Llobregat, Barcelona",L'Hospitalet de Llobregat,5.0,0,pending,2026-01-02,,False,,Fontanero,amb_barcelona_sin_web_20260102_223732.csv
BCN-0008,"Fontanero,electricista,pintor, reformas, lampista",fontanero,+34602809941,+34 602 80 99 41,"Plaça de Provençana, 08902 L'Hospitalet de Llobregat, Barcelona",L'Hospitalet de Llobregat,5.0,0,pending,2026-01-02,,False,,Fontanero,amb_barcelona_sin_web_20260102_223732.csv
BCN-0009,Macris,fontanero,+34934491322,+34 934 49 13 22,"Carrer de les Aigües del Llobregat, 51, 08905 L'Hospitalet de Llobregat, Barcelona",L'Hospitalet de Llobregat,5.0,0,pending,2026-01-02,,False,,Fontanero,amb_barcelona_sin_web_20260102_223732.csv
BCN-0010,Instalaciones Lamai,electricista,+34602600686,+34 602 60 06 86,"Carrer Martí Codolar, 47, 08902 L'Hospitalet de Llobregat, Barcelona",L'Hospitalet de Llobregat,5.0,0,pending,2026-01-02,,False,,Electricista,amb_barcelona_sin_web_20260102_223732.csv
BCN-0011,Instalaciones DFG,electricista,+34684149314,+34 684 14 93 14,"08901 L'Hospitalet de Llobregat, Barcelona",L'Hospitalet de Llobregat,5.0,0,pending,2026-01-02,,False,,Electricista,amb_barcelona_sin_web_20260102_223732.csv
BCN-0012,Conductos de Aire Acondicionado los Gallegos S.L.,aire acondicionado,+34932615280,+34 932 61 52 80,"Carrer Josep Maria de Sagarra, 41, 08901 L'Hospitalet de Llobregat, Barcelona",L'Hospitalet de Llobregat,5.0,0,pending,2026-01-02,,False,,Contratista de aire acondicionado,amb_barcelona_sin_web_20260102_223732.csv
BCN-0013,Solarnavy | Instalación de paneles solares,instalador placas solares,,,,L'Hospitalet de Llobregat,5.0,0,pending,2026-01-02,,False,,Solar energy company,amb_barcelona_sin_web_20260102_223732.csv
BCN-0014,El Pintor del Barrio,pintor decorator,+34626206636,+34 626 20 66 36,"Rambla de la Marina, 341, 08907 L'Hospitalet de Llobregat, Barcelona",L'Hospitalet de Llobregat,5.0,0,pending,2026-01-02,,False,,Pintor,amb_barcelona_sin_web_20260102_223732.csv
BCN-0015,Agencia Font,jardinero,+34602098681,+34 602 09 86 81,"Carrer Font, 64, 08905 L'Hospitalet de Llobregat, Barcelona",L'Hospitalet de Llobregat,5.0,0,pending,2026-01-02,,False,,Jardinero,amb_barcelona_sin_web_20260102_223732.csv
BCN-0016,Cerrajero Alex L'Hospitalet de Llobregat,cerrajero,+34680149670,+34 680 14 96 70,"Carrer de Vallparda, 08904 L'Hospitalet de Llobregat, Barcelona",L'Hospitalet de Llobregat,5.0,0,pending,2026-01-02,,False,,Servei de serralleria d’urgències,amb_barcelona_sin_web_20260102_223732.csv
BCN-0017,Cerrajería Tecnillaves,cerrajero,+34666636553,+34 666 63 65 53,"Carrer d'Enric Prat de la Riba, 222, 08901 L'Hospitalet de Llobregat, Barcelona",L'Hospitalet de Llobregat,5.0,0,pending,2026-01-02,,False,,Botiga de panys,amb_barcelona_sin_web_20260102_223732.csv
BCN-0018,Limpiezas Hospitalet de Llobregat - Empresa de limpieza,limpieza fachadas,+34644571207,+34 644 57 12 07,"Carrer de l'Ermita de Bellvitge, 43, 08907 L'Hospitalet de Llobregat, Barcelona",L'Hospitalet de Llobregat,5.0,0,pending,2026-01-02,,False,,Servicios de limpieza,amb_barcelona_sin_web_20260102_223732.csv
BCN-0019,Carpintería de aluminio y hierro ALUCLAVER,carpintero aluminio,+34933838208,+34 933 83 82 08,"Carrer de Venus, 13, 08914 Badalona, Barcelona",Badalona,5.0,0,pending,2026-01-02,,False,,Taller de metalurgia,amb_barcelona_sin_web_20260102_223732.csv
BCN-0020,Carpintería keysi’s alumini,carpintero aluminio,+34607798929,+34 607 79 89 29,"Carrer del Mariscal Cabanes, 08918 Badalona, Barcelona",Badalona,5.0,0,pending,2026-01-02,,False,,Carpintería metálica y de aluminio,amb_barcelona_sin_web_20260102_223732.csv
BCN-0021,fontanero marroquí,fontanero,+34678752548,+34 678 75 25 48,,Badalona,5.0,0,pending,2026-01-02,,False,,Fontanero,amb_barcelona_sin_web_20260102_223732.csv
BCN-0022,FONTANERO Y ELECTRICISTA MARC,fontanero,+34624499905,+34 624 49 99 05,"Carrer de l'Abat Odó, 62, Sant Andreu, 08030 Barcelona",Badalona,5.0,0,pending,2026-01-02,,False,,Fontanero,amb_barcelona_sin_web_20260102_223732.csv
BCN-0023,ELECTRICISTAS BADALONA,electricista,+34634972844,+34 634 97 28 44,"Carrer de la Quintana Alta, 63, 08911 Badalona, Barcelona",Badalona,5.0,0,pending,2026-01-02,,False,,Electricista,amb_barcelona_sin_web_20260102_223732.csv
BCN-0024,Electricidad Urgente Bcn ✅⭐⭐⭐⭐⭐,electricista,+34632779530,+34 632 77 95 30,"Carrer del Mariscal Cabanes, 45, 08918 Badalona, Barcelona",Badalona,5.0,0,pending,2026-01-02,,False,,Electricista,amb_barcelona_sin_web_20260102_223732.csv
BCN-0025,Cuadros Eléctricos e Instalaciones S.L.U.,electricista,+34937605882,+34 937 60 58 82,"Carrer del General Weyler, 190-194, Local 1B, 08912 Badalona, Barcelona",Badalona,5.0,0,pending,2026-01-02,,False,,Servicio de instalación eléctrica,amb_barcelona_sin_web_20260102_223732.csv
BCN-0026,Barnainstal,aire acondicionado,+34636659888,+34 636 65 98 88,"Rambla de Sant Joan, 51, 08912 Badalona, Barcelona",Badalona,5.0,0,pending,2026-01-02,,False,,Tienda aire acondicionado,amb_barcelona_sin_web_20260102_223732.csv
BCN-0027,Helios Energy Europe Sl,instalador placas solares,+34933136162,+34 933 13 61 62,"Carrer del Xarol, 13, 08915 Badalona, Barcelona",Badalona,5.0,0,pending,2026-01-02,,False,,Proveedor de equipos de energía solar,amb_barcelona_sin_web_20260102_223732.csv
BCN-0028,Pindeco,pintor decorator,+34615204665,+34 615 20 46 65,,Badalona,5.0,0,pending,2026-01-02,,False,,Pintor,amb_barcelona_sin_web_20260102_223732.csv
BCN-0029,Gestió Jardí Brugué,jardinero,,,"Carrer de Martí i Julià, 1-3, 08911 Badalona, Barcelona",Badalona,5.0,0,pending,2026-01-02,,False,,Jardinero,amb_barcelona_sin_web_20260102_223732.csv
BCN-0030,Marc Martí,cerrajero,+34684719923,+34 684 71 99 23,"Carrer de Maragall, 48, 08912 Badalona, Barcelona",Badalona,5.0,0,pending,2026-01-02,,False,,Servei de serralleria d’urgències,amb_barcelona_sin_web_20260102_223732.csv
BCN-0031,LIMPIEZAS PLATA,limpieza fachadas,+34657990471,+34 657 99 04 71,"Av. de Catalunya, 46, 08917 Badalona, Barcelona",Badalona,5.0,0,pending,2026-01-02,,False,,Servicios de limpieza,amb_barcelona_sin_web_20260102_223732.csv
BCN-0032,EMPRESA DE RESTAURACION Y REHABILITACION DE FACHADAS,limpieza fachadas,+34670212647,+34 670 21 26 47,"Carrer de la Festa Major d'Iquique, 11, Local 2, 08930 Badalona, Barcelona",Badalona,5.0,0,pending,2026-01-02,,False,,Reformas,amb_barcelona_sin_web_20260102_223732.csv
BCN-0033,"nueva reforma sabadell REFORMA DE COCINA SABADELL REFORMA DE BAÑO SABADELL, LAMPISTA SABADELL",reformas cocina,+34610358724,+34 610 35 87 24,"Av. de Matadepera, 3, 08207 Sabadell, Barcelona",Sabadell,5.0,0,pending,2026-01-02,,False,,Reformas de cocinas,amb_barcelona_sin_web_20260102_223732.csv
BCN-0034,MOSQUITERAS SABADELL,carpintero aluminio,+34606758779,+34 606 75 87 79,"Passeig del Dos de Maig, 33, 08204 Sabadell, Barcelona",Sabadell,5.0,0,pending,2026-01-02,,False,,Carpintería metálica y de aluminio,amb_barcelona_sin_web_20260102_223732.csv
BCN-0035,Instalaciones Vilchez: Electricista y fontanero,fontanero,+34634221192,+34 634 22 11 92,"Carrer de Viladomat, 08205 Sabadell, Barcelona",Sabadell,5.0,0,pending,2026-01-02,,False,,Fontanero,amb_barcelona_sin_web_20260102_223732.csv
BCN-0036,El Fontanero Juan,fontanero,+34625071102,+34 625 07 11 02,"Carrer d'en Bac de Roda, 24, 08204 Sabadell, Barcelona",Sabadell,5.0,0,pending,2026-01-02,,False,,Fontanero,amb_barcelona_sin_web_20260102_223732.csv
BCN-0037,Jefferson Construcciónes,fontanero,+34640262048,+34 640 26 20 48,"Carrer de Sallarès i Pla, 2, 08202 Sabadell, Barcelona",Sabadell,5.0,0,pending,2026-01-02,,False,,Fontanero,amb_barcelona_sin_web_20260102_223732.csv
BCN-0038,Algoma Instalaciones,fontanero,+34696158789,+34 696 15 87 89,"Carrer de las Navas, 90, 08208 Sabadell, Barcelona",Sabadell,5.0,0,pending,2026-01-02,,False,,Fontanero,amb_barcelona_sin_web_20260102_223732.csv
BCN-0039,"electricidad NG EMERGENCIAS 24h,agua , gas , datos , industrial ,domiciliaria",electricista,+34666113080,+34 666 11 30 80,"08204 Sabadell, Barcelona",Sabadell,5.0,0,pending,2026-01-02,,False,,Electricista,amb_barcelona_sin_web_20260102_223732.csv
BCN-0040,El llauner del barri,electricista,+34671798826,+34 671 79 88 26,,Sabadell,5.0,0,pending,2026-01-02,,False,,Electricista,amb_barcelona_sin_web_20260102_223732.csv
BCN-0041,Instalaciones Jorvid.,electricista,+34647977768,+34 647 97 77 68,"Calle de la Jabonería, 47, 08204 Sabadell, Barcelona",Sabadell,5.0,0,pending,2026-01-02,,False,,Electricista,amb_barcelona_sin_web_20260102_223732.csv
BCN-0042,Climatiza Innovación,aire acondicionado,+34605734635,+34 605 73 46 35,"Carrer de Petrarca, 16, 08206 Sabadell, Barcelona",Sabadell,5.0,0,pending,2026-01-02,,False,,Servicio de reparación de aire acondicionado,amb_barcelona_sin_web_20260102_223732.csv
BCN-0043,AEROSOLAR RENOVABLES S.L.,aire acondicionado,,,"Oficinas y Almacén, Carrer de l'Anoia, 8, 08192 Sant Quirze del Vallès, Barcelona",Sabadell,5.0,0,pending,2026-01-02,,False,,Empresa de climatización,amb_barcelona_sin_web_20260102_223732.csv
BCN-0044,artyestuc pintors,pintor decorator,+34678289787,+34 678 28 97 87,"Carrer de Viladomat, 63, 08205 Sabadell, Barcelona",Sabadell,5.0,0,pending,2026-01-02,,False,,Pintor,amb_barcelona_sin_web_20260102_223732.csv
BCN-0045,SBD Revestiments,pintor decorator,+34677073426,+34 677 07 34 26,"Carrer dels Calders, 83, 1º 3º, 08203 Sabadell, Barcelona",Sabadell,5.0,0,pending,2026-01-02,,False,,Pintor,amb_barcelona_sin_web_20260102_223732.csv
BCN-0046,La ceba jardins,jardinero,+34695608409,+34 695 60 84 09,"Santiago de Compostela 14, 08204 Sabadell, Barcelona",Sabadell,5.0,0,pending,2026-01-02,,False,,Servicio de jardinería,amb_barcelona_sin_web_20260102_223732.csv
BCN-0047,Roser 1988,cerrajero,+34644066210,+34 644 06 62 10,"Carrer de Pérez Moya, 70, 08204 Sabadell, Barcelona",Sabadell,5.0,0,pending,2026-01-02,,False,,Cerrajero,amb_barcelona_sin_web_20260102_223732.csv
BCN-0048,CerrajerosCalmet37,cerrajero,+34607522567,+34 607 52 25 67,"Carrer de Manso, 143, 08205 Sabadell, Barcelona",Sabadell,5.0,0,pending,2026-01-02,,False,,Cerrajero,amb_barcelona_sin_web_20260102_223732.csv
BCN-0049,Idc Cocinas,reformas cocina,+34931910886,+34 931 91 08 86,"Carrer de Núria, 73, 08224 Terrassa, Barcelona",Terrassa,5.0,0,pending,2026-01-02,,False,,Comercio,amb_barcelona_sin_web_20260102_223732.csv
BCN-0050,moncuinesdisseny,reformas cocina,+34619572596,+34 619 57 25 96,"Carrer Sabadell, 7, 08225 Terrassa, Barcelona",Terrassa,5.0,0,pending,2026-01-02,,False,,Reformas de cocinas,amb_barcelona_sin_web_20260102_223732.csv
BCN-0051,Reformas Integrales J.Terret,reformas baño,+34650794038,+34 650 79 40 38,,Terrassa,5.0,0,pending,2026-01-02,,False,,Reformas,amb_barcelona_sin_web_20260102_223732.csv
BCN-0052,Mapesi Terrassa Sl,fontanero,+34937311158,+34 937 31 11 58,"Carrer de Bosch i Gimpera, 23, 08223 Terrassa, Barcelona",Terrassa,5.0,0,pending,2026-01-02,,False,,Fontanero,amb_barcelona_sin_web_20260102_223732.csv
BCN-0053,Joan Comallonga Galí,fontanero,+34639158424,+34 639 15 84 24,"Carrer de Pitàgores, 65, 08224 Terrassa, Barcelona",Terrassa,5.0,0,pending,2026-01-02,,False,,Fontanero,amb_barcelona_sin_web_20260102_223732.csv
BCN-0054,Ruiz,fontanero,+34937314414,+34 937 31 44 14,"Carrer Mare de Déu de las Angustias, 93, 08222 Terrassa, Barcelona",Terrassa,5.0,0,pending,2026-01-02,,False,,Fontanero,amb_barcelona_sin_web_20260102_223732.csv
BCN-0055,Antonio Alvarez Corral,fontanero,+34616424304,+34 616 42 43 04,"Carrer del Masnou, 3, 08227 Terrassa, Barcelona",Terrassa,5.0,0,pending,2026-01-02,,False,,Fontanero,amb_barcelona_sin_web_20260102_223732.csv
BCN-0056,Mi instalador,fontanero,+34659287773,+34 659 28 77 73,,Terrassa,5.0,0,pending,2026-01-02,,False,,Fontanero,amb_barcelona_sin_web_20260102_223732.csv
BCN-0057,Santiago Serrano García,fontanero,,,"Carrer de la Duquessa de la Victòria, 81, Can Palet, 08223 Terrassa, Barcelona",Terrassa,5.0,0,pending,2026-01-02,,False,,Fontanero,amb_barcelona_sin_web_20260102_223732.csv
BCN-0058,instalacions García,fontanero,+34627166313,+34 627 16 63 13,,Terrassa,5.0,0,pending,2026-01-02,,False,,Fontanero,amb_barcelona_sin_web_20260102_223732.csv
BCN-0059,Amperio Network Electricidad,electricista,+34631878928,+34 631 87 89 28,,Terrassa,5.0,0,pending,2026-01-02,,False,,Servicio de instalación eléctrica,amb_barcelona_sin_web_20260102_223732.csv
BCN-0060,Electricidad Quimi,electricista,+34657953689,+34 657 95 36 89,"Carrer Nou de Sant Pere, 1, Atico, 08221 Terrassa, Barcelona",Terrassa,5.0,0,pending,2026-01-02,,False,,Electricista,amb_barcelona_sin_web_20260102_223732.csv
BCN-0061,Instalaciones Electricas Maldonado,electricista,+34931373614,+34 931 37 36 14,"Carrer de Sant Mateu, 2, 08224 Terrassa, Barcelona",Terrassa,5.0,0,pending,2026-01-02,,False,,Electricista,amb_barcelona_sin_web_20260102_223732.csv
BCN-0062,APFCLIMA2023,aire acondicionado,+34688401769,+34 688 40 17 69,"Avinguda de Joaquim de Sagrera, 08224 Terrassa, Barcelona",Terrassa,5.0,0,pending,2026-01-02,,False,,Tienda aire acondicionado,amb_barcelona_sin_web_20260102_223732.csv
BCN-0063,Pintor Vizuete,pintor decorator,+34607194620,+34 607 19 46 20,"Av. de Béjar, 08225 Terrassa, Barcelona",Terrassa,5.0,0,pending,2026-01-02,,False,,Pintor,amb_barcelona_sin_web_20260102_223732.csv
BCN-0064,Pinturas y de decoración Mariano Cano,pintor decorator,+34626119265,+34 626 11 92 65,"Carrer Prat de la Ribas, Carrer de Prat de la Riba, 08226 Terrassa, Barcelona",Terrassa,5.0,0,pending,2026-01-02,,False,,Pintor,amb_barcelona_sin_web_20260102_223732.csv
BCN-0065,Remuntdecor S.C.P.,pintor decorator,+34663131117,+34 663 13 11 17,"Carrer de Miquel Palomares, 46, 08226 Terrassa, Barcelona",Terrassa,5.0,0,pending,2026-01-02,,False,,Pintor,amb_barcelona_sin_web_20260102_223732.csv
BCN-0066,seduction of the colors sl,pintor decorator,+34653660294,+34 653 66 02 94,"Carrer Sabadell, 08225 Terrassa, Barcelona",Terrassa,5.0,0,pending,2026-01-02,,False,,Pintor,amb_barcelona_sin_web_20260102_223732.csv
BCN-0067,Pinturas & Reformas Bazoli,pintor decorator,+34627159773,+34 627 15 97 73,"Carrer de la Hispanitat, 18, Can Boada, 08225 Terrassa, Barcelona",Terrassa,5.0,0,pending,2026-01-02,,False,,Pintor,amb_barcelona_sin_web_20260102_223732.csv
BCN-0068,Jardinería Terrassa,jardinero,+34644905554,+34 644 90 55 54,"Carrer de Flandes, 3, 08224 Terrassa, Barcelona",Terrassa,5.0,0,pending,2026-01-02,,False,,Servicio de jardinería,amb_barcelona_sin_web_20260102_223732.csv
BCN-0069,Simanya jardiners (Can Roca),jardinero,+34633017393,+34 633 01 73 93,"Av. de Béjar, 16, 08225 Terrassa, Barcelona",Terrassa,5.0,0,pending,2026-01-02,,False,,Jardinero,amb_barcelona_sin_web_20260102_223732.csv
BCN-0070,Xavier Fontas,jardinero,+34647572249,+34 647 57 22 49,"Carrer de l'Agricultura, 48, Can Palet, 08223 Terrassa, Barcelona",Terrassa,5.0,0,pending,2026-01-02,,False,,Jardinero,amb_barcelona_sin_web_20260102_223732.csv
BCN-0071,JaimeSerraller 24H/7D,cerrajero,+34711200024,+34 711 20 00 24,"Carrer del Germà Joaquim, 7, Can Palet, 08223 Terrassa, Barcelona",Terrassa,5.0,0,pending,2026-01-02,,False,,Cerrajero,amb_barcelona_sin_web_20260102_223732.csv
BCN-0072,Puertas Alarmas Y Automatismo Turkamatic,cerrajero,+34637335533,+34 637 33 55 33,"Carrer de Bilbao, 38, 08227 Terrassa, Barcelona",Terrassa,5.0,0,pending,2026-01-02,,False,,Cerrajero,amb_barcelona_sin_web_20260102_223732.csv
BCN-0073,Reformes D.M.,reformas cocina,+34633199274,+34 633 19 92 74,"Ctra. de Mata, 60, 08304 Mataró, Barcelona",Mataró,5.0,0,pending,2026-01-02,,False,,Reformas,amb_barcelona_sin_web_20260102_223732.csv
BCN-0074,El Món De La Reforma,reformas baño,+34930013976,+34 930 01 39 76,"Carrer de Pompeu Fabra, 27, 08302 Mataró, Barcelona",Mataró,5.0,0,pending,2026-01-02,,False,,Proveedor de materiales de construcción,amb_barcelona_sin_web_20260102_223732.csv
BCN-0075,Rafael Soler Ferrer,reformas baño,+34678420746,+34 678 42 07 46,"Carrer Fray Luis de León, 36, bajo 1, 08302 Mataró, Barcelona",Mataró,5.0,0,pending,2026-01-02,,False,,Reformas de baños,amb_barcelona_sin_web_20260102_223732.csv
BCN-0076,Vidrios Y Aluminios E Martín,carpintero aluminio,+34937987901,+34 937 98 79 01,"Carrer de Pineda, 15, 08303 Mataró, Barcelona",Mataró,5.0,0,pending,2026-01-02,,False,,Carpintería metálica y de aluminio,amb_barcelona_sin_web_20260102_223732.csv
BCN-0077,Aluminis y Vidres DIAZ,carpintero aluminio,+34937997008,+34 937 99 70 08,"Camí de la Geganta, 107, 08302 Mataró, Barcelona",Mataró,5.0,0,pending,2026-01-02,,False,,Ventana de aluminio,amb_barcelona_sin_web_20260102_223732.csv
BCN-0078,Empresa desatascos Mataró,fontanero,+34658819780,+34 658 81 97 80,"Carrer Turó de Montgat, 1, 08304 Mataró, Barcelona",Mataró,5.0,0,pending,2026-01-02,,False,,Fontanero,amb_barcelona_sin_web_20260102_223732.csv
BCN-0079,Electricidad Y Telecomunicaciones Martínez,electricista,+34937577776,+34 937 57 77 76,"Carrer dels Almogàvers, 10, 08303 Mataró, Barcelona",Mataró,5.0,0,pending,2026-01-02,,False,,Electricista,amb_barcelona_sin_web_20260102_223732.csv
BCN-0080,Electronova Instal·lacions,electricista,+34676265645,+34 676 26 56 45,"Carrer del Massevà, 42, 08302 Mataró, Barcelona",Mataró,5.0,0,pending,2026-01-02,,False,,Electricista,amb_barcelona_sin_web_20260102_223732.csv
BCN-0081,ELECTRO SERVEI,electricista,+34607858538,+34 607 85 85 38,"Carrer de Sant Cugat, 103, 08302 Mataró, Barcelona",Mataró,5.0,0,pending,2026-01-02,,False,,Electricista,amb_barcelona_sin_web_20260102_223732.csv
BCN-0082,Unión Electrónica,electricista,+34937570318,+34 937 57 03 18,"Carrer de la Mare de Déu de Núria, 5, 08303 Mataró, Barcelona",Mataró,5.0,0,pending,2026-01-02,,False,,Electricista,amb_barcelona_sin_web_20260102_223732.csv
BCN-0083,Euro Light Group Serveis,electricista,+34937077775,+34 937 07 77 75,"Carrer Llauder, 137, 08302 Mataró, Barcelona",Mataró,5.0,0,pending,2026-01-02,,False,,Electricista,amb_barcelona_sin_web_20260102_223732.csv
BCN-0084,Instalaciones Martínez Fernández S.L.,electricista,+34937571769,+34 937 57 17 69,"Plaça Canyamars, 5, 08303 Mataró, Barcelona",Mataró,5.0,0,pending,2026-01-02,,False,,Electricista,amb_barcelona_sin_web_20260102_223732.csv
BCN-0085,"Instalaciones J.L. Chicote e Hijos, Sl",electricista,+34937571375,+34 937 57 13 75,"Riera de Figuera Major, 21, 08304 Mataró, Barcelona",Mataró,5.0,0,pending,2026-01-02,,False,,Electricista,amb_barcelona_sin_web_20260102_223732.csv
BCN-0086,David Castro López,electricista,,,"Carrer Mossèn Molé, 20, 08304 Mataró, Barcelona",Mataró,5.0,0,pending,2026-01-02,,False,,Electricista,amb_barcelona_sin_web_20260102_223732.csv
BCN-0087,Iniciativas Comerciales Eléctricas Sa,electricista,+34937588040,+34 937 58 80 40,"Via Sèrgia, 90, BAJO, 08302 Mataró, Barcelona",Mataró,5.0,0,pending,2026-01-02,,False,,Electricista,amb_barcelona_sin_web_20260102_223732.csv
BCN-0088,Pintores Mito,pintor decorator,+34690098246,+34 690 09 82 46,"Carrer Queralbs, 26, 1º 1ª, 08303 Mataró, Barcelona",Mataró,5.0,0,pending,2026-01-02,,False,,Pintor,amb_barcelona_sin_web_20260102_223732.csv
BCN-0089,Llibre Pintors,pintor decorator,+34696655529,+34 696 65 55 29,"Camí Ral de la Mercè, 318, 08301 Mataró, Barcelona",Mataró,5.0,0,pending,2026-01-02,,False,,Pintor,amb_barcelona_sin_web_20260102_223732.csv
BCN-0090,Pinturas Maresme,pintor decorator,+34651169318,+34 651 16 93 18,"persiana Gris oscuro, n° 157, Carrer de Sant Cugat, 157, 08302 Mataró, Barcelona",Mataró,5.0,0,pending,2026-01-02,,False,,Pintor,amb_barcelona_sin_web_20260102_223732.csv
BCN-0091,Pintors Garriga | Maresme,pintor decorator,+34634671158,+34 634 67 11 58,"Carrer de Cuba, 84, 08302 Mataró, Barcelona",Mataró,5.0,0,pending,2026-01-02,,False,,Pintor,amb_barcelona_sin_web_20260102_223732.csv
BCN-0092,Pint-Decor,pintor decorator,+34658597375,+34 658 59 73 75,,Mataró,5.0,0,pending,2026-01-02,,False,,Pintor,amb_barcelona_sin_web_20260102_223732.csv
BCN-0093,A one Locks Solutions,cerrajero,+34621063689,+34 621 06 36 89,"Carrer Fray Luis de León, 52, 08302 Mataró, Barcelona",Mataró,5.0,0,pending,2026-01-02,,False,,Servei de serralleria d’urgències,amb_barcelona_sin_web_20260102_223732.csv
BCN-0094,SERVINET MARESME - SERVICIOS DE LIMPIEZA,limpieza fachadas,+34689070656,+34 689 07 06 56,"Carrer Floridablanca, 33, 1º 2ª, 08301 Mataró, Barcelona",Mataró,5.0,0,pending,2026-01-02,,False,,Servicios de limpieza,amb_barcelona_sin_web_20260102_223732.csv
BCN-0095,Instalaciones G Manga,fontanero,+34647963045,+34 647 96 30 45,"Carrer Rafael Casanova, 66, 08401 Granollers, Barcelona",Granollers,5.0,0,pending,2026-01-02,,False,,Fontanero,amb_barcelona_sin_web_20260102_223732.csv
BCN-0096,"Asociación de Intaladores de Electricidad, Fontanería, Gas y Afines del Valle Oriental",fontanero,+34938707340,+34 938 70 73 40,"Carrer Josep Maria de Sagarra, 68, 08402 Granollers, Barcelona",Granollers,5.0,0,pending,2026-01-02,,False,,Fontanero,amb_barcelona_sin_web_20260102_223732.csv
BCN-0097,Instalaciónes Empire Ros@ Servicios,electricista,+34673129834,+34 673 12 98 34,"08401 Granollers, Barcelona",Granollers,5.0,0,pending,2026-01-02,,False,,Electricista,amb_barcelona_sin_web_20260102_223732.csv
BCN-0098,Grup Eurovalles Electric,electricista,,,"08401 Granollers, Barcelona",Granollers,5.0,0,pending,2026-01-02,,False,,Electricista,amb_barcelona_sin_web_20260102_223732.csv
